index,cwe key word,matched key word,file,func,hunk,function_name,note,repo,branch,url,testcase
1,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},12(11),14,80,"[None, None, None, None, None, None, None, 'drawU', 'add', None, 'setGray', 'setGray', 'setGray', 'setGray', 'setColor', 'setColor', 'setColor', 'toUImage', 'toUImage', 'toUImage', 'toUImage', None, None, 'learnThisAddress', None, 'forbiddenURL', 'isInUrlAllowList', None, None, 'canCover', 'canCover', 'canCover', 'canCover', 'canCover', 'canCover', 'canCover', 'canCover', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'finalizeEnddefinelong', 'finalizeEnddefinelong', 'retrieveNamedSlow', 'retrieveNamedSlow', 'retrieveNamedSlow', 'retrieveNamedSlow', 'retrieveNamedSlow', 'retrieveNamedSlow', 'retrieveNamedSlow', 'retrieveNamedSlow', None, None, None, None, 'retrieveDistributor', 'retrieveDistributor', None, None, None, None, None, 'setIfValid', 'setIfValid', 'setIfValid', 'setIfValid', 'setIfValid', 'setIfValid', None]",,plantuml,"['master', 'remotes/origin/HEAD -> origin/master', 'remotes/origin/attic-proposal', 'remotes/origin/full_jar', 'remotes/origin/gh-pages', 'remotes/origin/issue/1814', 'remotes/origin/master', 'remotes/origin/pdiff_1uel9', 'remotes/origin/pending-tests']",https://github.com/plantuml/plantuml/commit/b32500bb61ae617bb312496d6d832e4be8190797,"{'OptionFlags.java': 0, 'ImportedFiles.java': 0, 'SFile.java': 0, 'SURL.java': 0, 'SecurityProfile.java': 0, 'SecurityUtils.java': 0, 'FileExists.java': 0, 'Getenv.java': 0, 'LoadJson.java': 0, 'LicenseInfo.java': 0, 'PSystemVersion.java': 0, 'Version.java': 0}"
2,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},12(11),14,80,"[None, None, None, None, None, None, None, 'drawU', 'add', None, 'setGray', 'setGray', 'setGray', 'setGray', 'setColor', 'setColor', 'setColor', 'toUImage', 'toUImage', 'toUImage', 'toUImage', None, None, 'learnThisAddress', None, 'forbiddenURL', 'isInUrlAllowList', None, None, 'canCover', 'canCover', 'canCover', 'canCover', 'canCover', 'canCover', 'canCover', 'canCover', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'finalizeEnddefinelong', 'finalizeEnddefinelong', 'retrieveNamedSlow', 'retrieveNamedSlow', 'retrieveNamedSlow', 'retrieveNamedSlow', 'retrieveNamedSlow', 'retrieveNamedSlow', 'retrieveNamedSlow', 'retrieveNamedSlow', None, None, None, None, 'retrieveDistributor', 'retrieveDistributor', None, None, None, None, None, 'setIfValid', 'setIfValid', 'setIfValid', 'setIfValid', 'setIfValid', 'setIfValid', None]",,plantuml,"['master', 'remotes/origin/HEAD -> origin/master', 'remotes/origin/attic-proposal', 'remotes/origin/full_jar', 'remotes/origin/gh-pages', 'remotes/origin/issue/1814', 'remotes/origin/master', 'remotes/origin/pdiff_1uel9', 'remotes/origin/pending-tests']",https://github.com/plantuml/plantuml/commit/b32500bb61ae617bb312496d6d832e4be8190797,"{'OptionFlags.java': 0, 'ImportedFiles.java': 0, 'SFile.java': 0, 'SURL.java': 0, 'SecurityProfile.java': 0, 'SecurityUtils.java': 0, 'FileExists.java': 0, 'Getenv.java': 0, 'LoadJson.java': 0, 'LicenseInfo.java': 0, 'PSystemVersion.java': 0, 'Version.java': 0}"
3,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},1(1),1,2,"[None, None]",,opencrx,"['master', 'remotes/origin/HEAD -> origin/master', 'remotes/origin/master']",https://github.com/opencrx/opencrx/commit/ce7a71db0bb34ecbcb0e822d40598e410a48b399,{'WebDavMethod.java': 0}
4,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},3(3),1,6,"[None, None, None, None, None, None]",,snappy-java,"['master', 'remotes/origin/HEAD -> origin/master', 'remotes/origin/master', 'remotes/origin/update-native-libs', 'remotes/origin/update/sbt-1.10.2', 'remotes/origin/update/sbt-osgi-0.9.7']",https://github.com/xerial/snappy-java/commit/9f8c3cf74223ed0a8a834134be9c917b9f10ceb5,"{'SnappyHadoopCompatibleOutputStream.java': 0, 'SnappyInputStream.java': 0, 'SnappyOutputStream.java': 0, 'SnappyOutputStreamTest.java': 0, 'SnappyTest.java': 0, 'SnappyOutputStream': 1, 'Snappy': 1}"
5,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},2(2),1,8,"[None, None, None, None, None, None, None, None]",,inlong,"['master', 'remotes/origin/HEAD -> origin/master', 'remotes/origin/branch-1.10', 'remotes/origin/branch-1.11', 'remotes/origin/branch-1.12', 'remotes/origin/branch-1.13', 'remotes/origin/master', 'remotes/origin/release-1.10.0', 'remotes/origin/release-1.11.0', 'remotes/origin/release-1.12.0', 'remotes/origin/release-1.13.0', 'remotes/origin/release-1.9.0']",https://github.com/apache/inlong/commit/49cbf96ba228b99590cab733011462139b2fea69,"{'InlongConstants.java': 0, 'MySQLSinkDTO.java': 2, 'MySQLSinkDTOTest.java': 0, 'MySQLSinkDTO': 1}"
6,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},1(1),1,8,"[None, None, None, None, None, None, None, None]",,keycloak,['remotes/origin/release/21.1'],https://github.com/keycloak/keycloak/commit/5c6c55945a384bfd82e51283096204dcb6f63d91,"{'KeycloakConfigSourceProvider.java': 0, 'QuarkusPlatform.java': 0, 'GzipResourceEncodingProviderFactory.java': 0, 'DirExportProvider.java': 0, 'DirImportProvider.java': 0, 'PlatformProvider.java': 0, 'ThemeResourceProviderTest.java': 0, 'KeycloakServer.java': 0, 'TestPlatform.java': 0, 'WildflyPlatform.java': 0, 'ThemeResourceProvider': 1, 'Platform': 1}"
7,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},2(2),4,24,"[None, None, None, None, None, None, 'getCorsConfiguration', None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'match', 'match', 'PathPatternMatchableHandlerMapping']",,spring-framework,"['main', 'remotes/origin/6.0.x', 'remotes/origin/6.1.x', 'remotes/origin/HEAD -> origin/main', 'remotes/origin/main']",https://github.com/spring-projects/spring-framework/commit/202fa5cdb3a3d0cfe6967e85fa167d978244f28a,"{'SpelMessage.java': 0, 'OperatorMatches.java': 0, 'EvaluationTests.java': 0, 'Evaluation': 1}"
8,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},2(2),4,24,"[None, None, None, None, None, None, 'getCorsConfiguration', None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'match', 'match', 'PathPatternMatchableHandlerMapping']",,spring-framework,['remotes/origin/5.3.x'],https://github.com/spring-projects/spring-framework/commit/eafe3afe11c9fc440ce3088e7e45ecaeffb57a52,"{'SpelMessage.java': 0, 'OperatorMatches.java': 0, 'EvaluationTests.java': 0, 'Evaluation': 1}"
9,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},2(2),2,5,"[None, 'SandboxServiceImpl', None, None, None]",,shenyu,"['master', 'remotes/origin/HEAD -> origin/master', 'remotes/origin/master']",https://github.com/apache/shenyu/commit/1fd33d5aa032e8e71e7e40b229d74e9f88745923,"{'SandboxServiceImpl.java': 0, 'UriUtils.java': 0}"
10,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},2(2),2,5,"[None, 'SandboxServiceImpl', None, None, None]",,shenyu,"['master', 'remotes/origin/HEAD -> origin/master', 'remotes/origin/master']",https://github.com/apache/shenyu/commit/1fd33d5aa032e8e71e7e40b229d74e9f88745923,"{'SandboxServiceImpl.java': 0, 'UriUtils.java': 0}"
